recta,enemigos_delante,enemigos_atras,platanos_delante,conchas_atras,power_up_tirado
false,1,5,1,1,banana
true,5,1,1,1,shell
true,2,2,0,0,mushroom
false,2,4,0,0,banana
true,5,0,0,0,shell
true,1,1,0,1,mushroom
false,0,2,0,1,banana
false,5,0,1,1,shell
true,2,2,0,0,mushroom
false,1,5,0,0,banana
false,3,0,1,0,shell
true,2,2,1,0,mushroom
false,0,4,0,1,banana
true,5,0,0,1,shell
true,0,0,0,0,mushroom
true,0,5,0,1,banana
false,5,0,1,0,shell
true,0,0,0,0,mushroom
false,1,5,0,0,banana
false,5,1,0,1,shell
true,2,2,1,0,mushroom
false,2,5,0,0,banana
false,5,0,1,0,shell
true,0,0,0,0,mushroom
false,0,3,1,0,banana
false,5,0,0,1,shell
true,0,0,0,1,mushroom
false,1,4,0,0,banana
false,4,0,1,1,shell
true,2,2,0,0,mushroom
false,2,5,0,1,banana
false,5,1,0,0,shell
true,2,2,1,0,mushroom
false,2,4,1,0,banana
false,3,1,0,0,shell
true,2,2,1,0,mushroom
false,0,5,1,0,banana
false,3,1,1,1,shell
true,1,1,0,0,mushroom
true,0,3,0,1,banana
false,5,0,1,0,shell
true,0,0,1,0,mushroom
false,0,5,0,1,banana
false,4,0,0,1,shell
true,2,2,1,0,mushroom
false,1,5,1,1,banana
true,4,2,1,0,shell
true,2,2,0,1,mushroom
false,0,5,0,1,banana
true,5,0,1,0,shell
true,1,1,0,0,mushroom
false,1,3,0,1,banana
false,4,2,0,0,shell
true,2,2,0,1,mushroom
false,1,2,0,1,banana
true,5,0,0,0,shell
true,2,2,1,0,mushroom
true,1,5,0,0,banana
false,3,0,0,1,shell
true,2,2,1,0,mushroom
true,0,4,1,1,banana
false,4,0,0,0,shell
true,0,0,0,1,mushroom
true,1,4,0,0,banana
true,5,2,1,1,shell
true,1,1,1,0,mushroom
false,0,4,1,0,banana
false,5,2,0,0,shell
true,2,2,1,0,mushroom
false,0,5,0,1,banana
false,4,0,0,1,shell
true,0,0,1,0,mushroom
true,0,3,0,0,banana
false,4,1,0,1,shell
true,2,2,1,0,mushroom
true,0,4,0,1,banana
false,4,0,1,1,shell
true,0,0,1,0,mushroom
false,2,5,1,1,banana
false,5,0,1,0,shell
true,0,0,1,0,mushroom
true,1,3,1,1,banana
false,4,0,1,1,shell
true,1,1,0,1,mushroom
false,1,3,1,1,banana
true,4,0,1,0,shell
true,0,0,0,0,mushroom
false,2,4,0,1,banana
false,5,0,0,1,shell
true,2,2,0,0,mushroom
true,2,4,1,1,banana
false,5,0,1,1,shell
true,2,2,0,1,mushroom
false,2,5,0,0,banana
false,4,1,1,0,shell
true,1,1,0,0,mushroom
false,2,5,0,0,banana
true,3,0,1,0,shell
true,2,2,1,0,mushroom
false,0,4,1,0,banana
true,4,1,1,1,shell
true,2,2,0,0,mushroom
true,0,5,1,0,banana
false,5,1,1,0,shell
true,1,1,1,0,mushroom
true,0,5,1,1,banana
false,3,0,1,0,shell
true,2,2,0,0,mushroom
false,1,4,0,0,banana
false,5,0,0,0,shell
true,0,0,0,1,mushroom
false,0,5,0,0,banana
true,3,1,1,0,shell
true,2,2,0,1,mushroom
false,0,2,1,0,banana
false,4,0,0,0,shell
true,0,0,0,1,mushroom
false,0,3,0,0,banana
false,3,2,0,0,shell
true,0,0,0,0,mushroom
true,0,3,1,1,banana
false,5,1,0,0,shell
true,2,2,0,0,mushroom
true,2,5,0,1,banana
false,4,0,1,0,shell
true,2,2,0,1,mushroom
true,0,4,1,0,banana
true,5,0,0,0,shell
true,2,2,0,1,mushroom
false,1,5,0,0,banana
false,5,0,1,0,shell
true,1,1,1,0,mushroom
false,1,4,1,1,banana
false,4,1,0,1,shell
true,2,2,1,0,mushroom
false,0,2,1,1,banana
true,4,1,0,1,shell
true,2,2,1,0,mushroom
false,2,5,1,0,banana
false,2,0,1,0,shell
true,1,1,1,0,mushroom
true,0,5,1,1,banana
false,5,2,1,0,shell
true,0,0,1,0,mushroom
false,1,4,0,0,banana
false,5,1,1,0,shell
true,1,1,1,0,mushroom
false,0,5,1,1,banana
false,4,2,1,0,shell
true,2,2,1,0,mushroom
false,1,5,0,1,banana
false,5,0,1,1,shell
true,1,1,0,1,mushroom
false,1,4,1,0,banana
false,5,1,1,0,shell
true,2,2,0,1,mushroom
false,0,3,0,1,banana
true,5,0,0,0,shell
true,2,2,1,0,mushroom
false,1,5,1,0,banana
false,5,0,1,0,shell
true,2,2,1,0,mushroom
true,1,5,1,1,banana
false,5,1,1,1,shell
true,2,2,0,0,mushroom
false,1,3,1,0,banana
false,4,1,1,1,shell
true,0,0,0,0,mushroom
false,1,4,1,0,banana
true,3,1,0,0,shell
true,2,2,1,0,mushroom
false,1,4,1,0,banana
false,4,2,1,1,shell
true,0,0,0,1,mushroom
false,0,4,1,1,banana
false,5,0,0,1,shell
true,0,0,0,0,mushroom
false,1,4,1,1,banana
false,3,0,1,0,shell
true,0,0,0,0,mushroom
false,1,5,0,1,banana
true,3,0,1,1,shell
true,2,2,0,1,mushroom
false,1,5,0,1,banana
false,5,1,1,0,shell
true,0,0,0,1,mushroom
false,0,5,1,1,banana
false,5,2,0,0,shell
true,2,2,1,0,mushroom
false,0,3,0,0,banana
false,5,1,0,1,shell
true,2,2,1,0,mushroom
true,0,3,0,0,banana
true,3,0,1,0,shell
true,2,2,1,0,mushroom
false,1,4,0,1,banana
true,3,0,0,0,shell
true,2,2,1,0,mushroom
false,1,4,0,0,banana
false,4,0,0,0,shell
true,1,1,1,0,mushroom
true,0,4,1,1,banana
false,4,0,1,1,shell
true,1,1,0,0,mushroom
false,2,5,0,0,banana
false,5,1,0,1,shell
true,0,0,0,0,mushroom
false,0,5,1,1,banana
false,3,0,1,0,shell
true,2,2,1,0,mushroom
false,0,4,1,0,banana
false,5,0,1,1,shell
true,2,2,1,0,mushroom
false,0,3,1,0,banana
false,4,0,1,0,shell
true,2,2,0,0,mushroom
false,0,2,0,0,banana
false,5,0,1,0,shell
true,2,2,0,1,mushroom
false,1,4,0,0,banana
true,4,3,1,0,shell
true,0,0,1,0,mushroom
true,0,4,0,1,banana
false,5,1,1,1,shell
true,2,2,1,0,mushroom
false,1,5,1,1,banana
false,3,1,1,1,shell
true,0,0,0,0,mushroom
false,1,5,0,1,banana
false,4,0,0,0,shell
true,0,0,0,1,mushroom
false,0,5,0,0,banana
true,5,0,0,0,shell
true,0,0,1,0,mushroom
false,1,4,0,1,banana
false,3,0,1,1,shell
true,0,0,0,0,mushroom
false,2,4,0,1,banana
false,4,0,0,1,shell
true,0,0,0,1,mushroom
false,0,4,1,1,banana
false,5,0,1,1,shell
true,2,2,1,0,mushroom
false,0,4,0,0,banana
false,3,1,1,0,shell
true,1,1,0,1,mushroom
false,2,3,0,1,banana
false,5,0,1,0,shell
true,1,1,0,1,mushroom
true,1,4,1,0,banana
false,5,0,0,1,shell
true,2,2,0,1,mushroom
false,0,3,1,1,banana
false,5,1,0,1,shell
true,0,0,1,0,mushroom
false,0,3,0,1,banana
false,3,0,0,0,shell
true,0,0,0,0,mushroom
true,1,3,0,0,banana
false,5,0,1,1,shell
true,1,1,0,1,mushroom
false,2,5,1,1,banana
false,4,0,0,0,shell
true,1,1,0,0,mushroom
false,1,2,0,1,banana
false,4,0,0,0,shell
true,0,0,0,1,mushroom
false,1,3,0,0,banana
true,4,1,1,0,shell
true,2,2,0,1,mushroom
true,0,5,1,0,banana
true,5,0,0,1,shell
true,0,0,0,1,mushroom
false,1,3,0,1,banana
true,4,0,1,0,shell
true,1,1,1,0,mushroom
false,0,5,0,1,banana
true,5,1,0,0,shell
true,1,1,0,0,mushroom
false,2,5,0,1,banana
false,3,0,0,1,shell
true,1,1,1,0,mushroom
false,0,4,1,1,banana
false,5,0,1,0,shell
true,1,1,0,1,mushroom
false,1,4,0,0,banana
false,5,0,1,0,shell
true,1,1,0,1,mushroom
false,0,4,0,1,banana
false,5,0,0,1,shell
true,0,0,0,1,mushroom
false,0,4,0,0,banana
false,3,0,0,0,shell
true,0,0,0,1,mushroom
false,1,5,1,0,banana
false,5,0,0,0,shell
true,2,2,0,0,mushroom
false,2,5,1,1,banana
false,5,0,1,1,shell
true,2,2,0,0,mushroom
false,1,5,0,0,banana
false,5,1,0,1,shell
true,0,0,1,0,mushroom
false,1,4,0,0,banana
false,5,0,0,1,shell
true,0,0,0,0,mushroom
true,0,5,1,1,banana
false,2,0,1,1,shell
true,2,2,1,0,mushroom
false,1,5,1,0,banana
false,3,1,1,0,shell
true,0,0,0,0,mushroom
false,1,4,1,1,banana
true,4,0,1,0,shell
true,2,2,0,0,mushroom
false,1,3,0,1,banana
false,3,1,1,1,shell
true,0,0,0,0,mushroom
false,0,5,0,1,banana
true,3,0,0,0,shell
true,0,0,0,0,mushroom
false,0,2,0,0,banana
false,3,0,0,1,shell
true,2,2,0,1,mushroom
false,1,5,1,0,banana
false,5,1,1,1,shell
true,2,2,1,0,mushroom
false,0,5,0,0,banana
false,4,1,0,0,shell
true,2,2,0,0,mushroom
false,0,2,0,1,banana
false,4,1,0,0,shell
true,1,1,1,0,mushroom
false,0,5,0,1,banana
false,4,0,0,1,shell
true,0,0,0,0,mushroom
false,0,2,0,0,banana
false,5,1,1,0,shell
true,0,0,0,0,mushroom
false,0,5,1,1,banana
false,4,0,0,1,shell
true,0,0,0,0,mushroom
false,0,5,1,0,banana
true,2,0,0,1,shell
true,0,0,1,0,mushroom
false,1,4,1,1,banana
false,5,0,1,0,shell
true,1,1,0,0,mushroom
false,0,4,0,1,banana
false,4,0,1,0,shell
true,2,2,0,1,mushroom
false,0,5,1,1,banana
false,5,1,0,0,shell
true,0,0,1,0,mushroom
false,2,5,0,0,banana
false,4,2,1,1,shell
true,0,0,1,0,mushroom
true,0,4,1,1,banana
false,4,0,1,0,shell
true,2,2,0,1,mushroom
true,1,4,0,0,banana
true,5,0,0,0,shell
true,2,2,0,0,mushroom
true,0,3,0,1,banana
false,4,2,1,1,shell
true,0,0,0,1,mushroom
true,0,5,0,1,banana
true,5,0,0,0,shell
true,2,2,1,0,mushroom
false,0,5,0,1,banana
true,4,0,1,0,shell
true,0,0,1,0,mushroom
false,0,3,0,0,banana
false,5,2,1,0,shell
true,1,1,0,1,mushroom
true,0,5,1,0,banana
false,4,0,1,0,shell
true,1,1,1,0,mushroom
false,1,5,1,1,banana
false,5,0,1,1,shell
true,1,1,1,0,mushroom
true,0,5,1,1,banana
false,5,1,0,0,shell
true,1,1,1,0,mushroom
false,0,5,1,0,banana
false,4,0,1,0,shell
true,0,0,1,0,mushroom
false,1,5,0,1,banana
false,5,0,1,0,shell
true,1,1,1,0,mushroom
true,1,3,0,0,banana
false,3,0,1,0,shell
true,1,1,0,1,mushroom
false,1,5,1,0,banana
false,3,0,1,0,shell
true,2,2,0,1,mushroom
false,1,5,1,0,banana
false,3,2,0,1,shell
true,0,0,0,1,mushroom
false,1,4,1,1,banana
false,3,0,1,1,shell
true,2,2,0,0,mushroom
false,0,4,1,1,banana
true,5,0,1,0,shell
true,0,0,0,1,mushroom
false,2,5,0,1,banana
false,5,0,1,1,shell
true,0,0,0,1,mushroom
true,1,4,1,0,banana
false,5,0,1,0,shell
true,0,0,1,0,mushroom
false,2,4,1,0,banana
false,5,1,1,1,shell
true,0,0,1,0,mushroom
true,0,4,0,1,banana
false,3,0,1,0,shell
true,1,1,1,0,mushroom
false,0,4,0,0,banana
true,3,0,0,1,shell
true,2,2,1,0,mushroom
false,2,5,0,0,banana
false,4,1,1,1,shell
true,2,2,0,1,mushroom
false,0,5,0,0,banana
false,4,1,1,0,shell
true,0,0,0,1,mushroom
false,1,5,0,1,banana
true,4,0,1,0,shell
true,0,0,0,1,mushroom
true,0,5,0,0,banana
true,5,0,1,1,shell
true,1,1,0,0,mushroom
false,0,4,0,0,banana
false,5,0,0,1,shell
true,0,0,1,0,mushroom
false,1,5,1,0,banana
true,5,0,1,1,shell
true,2,2,0,0,mushroom
false,2,5,0,0,banana
false,4,2,1,1,shell
true,1,1,0,0,mushroom
false,0,4,1,0,banana
false,5,2,1,1,shell
true,2,2,0,0,mushroom
true,0,3,0,1,banana
false,5,0,1,1,shell
true,0,0,0,0,mushroom
false,0,5,1,1,banana
false,5,0,0,0,shell
true,0,0,0,0,mushroom
false,0,4,0,1,banana
true,4,0,1,0,shell
true,0,0,1,0,mushroom
false,0,3,1,1,banana
true,3,0,0,1,shell
true,0,0,0,1,mushroom
true,0,3,1,1,banana
true,4,0,0,0,shell
true,1,1,0,1,mushroom
false,0,5,0,0,banana
false,4,1,0,1,shell
true,2,2,0,0,mushroom
true,0,3,0,1,banana
false,2,0,1,0,shell
true,2,2,1,0,mushroom
false,0,4,0,0,banana
true,5,1,0,1,shell
true,0,0,1,0,mushroom
false,2,3,1,0,banana
false,5,0,1,1,shell
true,0,0,1,0,mushroom
false,0,4,0,0,banana
false,4,1,0,0,shell
true,0,0,1,0,mushroom
true,0,4,0,0,banana
false,3,1,0,1,shell
true,2,2,0,0,mushroom
false,2,4,1,1,banana
true,5,2,1,1,shell
true,1,1,1,0,mushroom
true,1,4,1,1,banana
true,4,1,1,0,shell
true,0,0,0,1,mushroom
false,0,3,0,0,banana
false,5,0,0,1,shell
true,2,2,1,0,mushroom
true,0,5,0,1,banana
false,2,0,1,1,shell
true,2,2,0,0,mushroom
false,0,4,1,0,banana
false,5,0,1,1,shell
true,1,1,0,1,mushroom
false,1,5,1,0,banana
false,4,0,1,0,shell
true,2,2,1,0,mushroom
true,0,5,0,0,banana
false,5,1,0,0,shell
true,0,0,0,1,mushroom
true,1,5,1,1,banana
true,5,0,0,0,shell
true,0,0,0,0,mushroom
false,0,5,1,0,banana
false,3,0,1,1,shell
true,0,0,0,0,mushroom
false,0,5,1,1,banana
false,5,0,1,0,shell
true,0,0,0,0,mushroom
false,0,3,0,1,banana
false,4,0,0,1,shell
true,0,0,1,0,mushroom
false,0,3,0,1,banana
false,5,2,0,1,shell
true,1,1,0,0,mushroom
false,1,5,1,1,banana
false,5,1,1,0,shell
true,0,0,1,0,mushroom
false,0,5,1,1,banana
true,5,0,0,0,shell
true,0,0,1,0,mushroom
false,2,3,1,0,banana
false,4,0,1,0,shell
true,0,0,1,0,mushroom
false,1,5,1,1,banana
false,5,2,0,0,shell
true,2,2,0,1,mushroom
false,2,5,0,1,banana
false,3,0,0,0,shell
true,1,1,0,1,mushroom
true,0,4,0,1,banana
false,2,0,1,0,shell
true,1,1,0,1,mushroom
true,0,4,1,1,banana
true,4,2,1,1,shell
true,2,2,0,0,mushroom
true,0,5,1,0,banana
false,5,2,0,0,shell
true,1,1,1,0,mushroom
true,0,3,1,0,banana
false,4,1,0,1,shell
true,0,0,1,0,mushroom
false,0,3,0,0,banana
true,3,0,0,1,shell
true,2,2,0,1,mushroom
false,0,5,0,0,banana
false,4,2,1,1,shell
true,0,0,1,0,mushroom
false,1,4,0,1,banana
true,5,0,1,0,shell
true,2,2,0,0,mushroom
false,0,4,1,1,banana
true,4,1,1,0,shell
true,0,0,1,0,mushroom
false,1,3,0,0,banana
true,5,1,1,1,shell
true,0,0,1,0,mushroom
true,1,2,1,1,banana
false,4,2,1,0,shell
true,2,2,0,1,mushroom
false,0,5,1,0,banana
false,4,2,1,1,shell
true,2,2,0,0,mushroom
true,2,5,0,0,banana
false,2,1,1,0,shell
true,1,1,1,0,mushroom
false,2,3,1,1,banana
false,5,2,1,0,shell
true,0,0,1,0,mushroom
false,0,5,1,1,banana
true,5,0,0,0,shell
true,2,2,0,0,mushroom
false,0,3,0,0,banana
false,5,1,1,0,shell
true,2,2,0,0,mushroom
true,2,4,1,1,banana
true,4,0,0,0,shell
true,2,2,0,0,mushroom
false,2,4,1,0,banana
false,5,0,0,0,shell
true,2,2,1,0,mushroom
false,0,3,0,0,banana
true,4,1,1,1,shell
true,0,0,1,0,mushroom
false,1,5,0,0,banana
false,4,0,1,0,shell
true,2,2,1,0,mushroom
false,0,5,0,1,banana
false,4,0,1,1,shell
true,2,2,0,1,mushroom
false,1,4,1,0,banana
false,5,1,0,0,shell
true,0,0,0,0,mushroom
true,1,5,1,1,banana
false,4,2,1,0,shell
true,2,2,0,1,mushroom
false,0,3,0,1,banana
true,5,0,1,1,shell
true,2,2,1,0,mushroom
false,0,5,0,0,banana
false,4,0,0,1,shell
true,2,2,1,0,mushroom
false,0,4,0,1,banana
false,2,0,0,1,shell
true,0,0,0,0,mushroom
false,1,3,0,0,banana
false,3,0,0,1,shell
true,2,2,0,0,mushroom
false,1,3,1,1,banana
false,5,1,1,1,shell
true,2,2,1,0,mushroom
false,0,5,1,0,banana
true,5,1,0,0,shell
true,1,1,0,0,mushroom
false,0,5,1,1,banana
false,5,1,1,1,shell
true,0,0,0,1,mushroom
true,0,4,0,1,banana
false,4,0,1,0,shell
true,0,0,0,0,mushroom
false,0,5,0,1,banana
false,4,1,1,0,shell
true,0,0,0,0,mushroom
false,0,5,0,0,banana
false,5,1,0,1,shell
true,0,0,0,1,mushroom
true,0,5,1,1,banana
false,5,2,1,1,shell
true,2,2,1,0,mushroom
true,0,5,0,1,banana
true,5,1,1,0,shell
true,2,2,1,0,mushroom
true,0,4,0,0,banana
false,5,0,1,1,shell
true,2,2,0,1,mushroom
true,0,4,0,1,banana
false,4,2,0,0,shell
true,1,1,0,1,mushroom
false,1,3,0,1,banana
false,5,1,0,1,shell
true,2,2,0,0,mushroom
false,1,5,1,0,banana
true,5,0,1,0,shell
true,2,2,0,0,mushroom
true,0,2,1,1,banana
false,5,1,1,0,shell
true,0,0,0,0,mushroom
true,1,3,0,0,banana
false,3,0,0,1,shell
true,1,1,1,0,mushroom
false,0,5,1,1,banana
false,3,0,1,1,shell
true,0,0,0,0,mushroom
false,1,4,0,1,banana
false,3,1,0,0,shell
true,1,1,1,0,mushroom
false,0,4,1,1,banana
true,5,2,0,0,shell
true,2,2,1,0,mushroom
false,0,4,1,1,banana
false,5,0,1,0,shell
true,0,0,0,0,mushroom
true,0,3,1,1,banana
false,4,1,1,0,shell
true,2,2,0,0,mushroom
true,0,2,1,1,banana
false,4,0,1,0,shell
true,0,0,0,0,mushroom
false,0,4,1,1,banana
true,5,0,1,1,shell
true,1,1,0,1,mushroom
false,0,5,0,1,banana
false,4,0,0,0,shell
true,0,0,0,0,mushroom
true,0,4,1,1,banana
false,5,1,1,1,shell
true,0,0,0,0,mushroom
false,0,2,0,1,banana
false,5,0,1,1,shell
true,0,0,0,0,mushroom
false,2,4,1,1,banana
false,5,0,1,1,shell
true,2,2,0,0,mushroom
true,0,3,1,1,banana
true,4,0,1,1,shell
true,0,0,0,0,mushroom
false,2,5,0,1,banana
false,4,2,1,0,shell
true,1,1,1,0,mushroom
false,1,5,1,0,banana
true,3,1,0,1,shell
true,2,2,0,1,mushroom
false,0,5,1,0,banana
false,5,0,0,0,shell
true,1,1,1,0,mushroom
false,1,3,0,0,banana
false,5,0,0,0,shell
true,2,2,0,0,mushroom
false,2,5,0,1,banana
true,5,1,1,0,shell
false,0,1,4,4,star
true,2,2,0,1,mushroom
false,0,5,1,0,banana
true,3,0,1,1,shell
false,1,0,4,3,star
true,0,0,0,1,mushroom
false,0,4,0,0,banana
false,5,1,1,0,shell
false,1,1,3,4,star
true,2,2,0,1,mushroom
true,0,5,1,1,banana
false,5,2,1,0,shell
false,3,1,4,3,star
true,0,0,0,1,mushroom
true,0,5,0,0,banana
false,3,0,0,1,shell
false,1,0,3,4,star
true,1,1,0,1,mushroom
false,1,4,0,0,banana
true,3,1,1,0,shell
false,0,1,4,4,star
true,1,1,0,0,mushroom
true,2,5,1,1,banana
false,5,0,1,1,shell
false,2,2,3,3,star
true,1,1,1,0,mushroom
false,0,5,1,0,banana
false,5,1,0,1,shell
false,0,1,3,4,star
true,2,2,0,1,mushroom
false,1,5,1,1,banana
true,4,0,1,1,shell
false,3,1,4,4,star
true,0,0,1,0,mushroom
false,0,3,1,0,banana
false,2,0,1,0,shell
false,1,1,4,3,star
true,1,1,1,0,mushroom
false,0,3,1,1,banana
false,5,1,0,1,shell
false,1,2,4,4,star
true,2,2,0,1,mushroom
true,1,5,0,0,banana
false,3,1,0,0,shell
false,2,1,4,4,star
true,0,0,0,1,mushroom
false,1,3,0,0,banana
false,4,1,1,0,shell
false,0,0,3,4,star
true,0,0,0,0,mushroom
false,0,4,1,0,banana
true,5,1,0,1,shell
false,0,3,4,4,star
true,0,0,0,1,mushroom
false,2,4,0,1,banana
true,5,1,0,0,shell
false,0,0,3,4,star
true,0,0,0,0,mushroom
true,0,3,1,0,banana
false,5,0,1,1,shell
false,0,0,4,3,star
true,2,2,1,0,mushroom
false,0,2,1,1,banana
false,5,1,1,0,shell
false,0,0,3,3,star
true,1,1,1,0,mushroom
false,1,3,0,1,banana
false,3,1,1,0,shell
false,0,0,4,4,star
true,0,0,0,1,mushroom
true,2,3,1,0,banana
false,3,0,1,1,shell
false,0,0,4,4,star
true,1,1,0,0,mushroom
false,0,4,1,0,banana
true,3,0,0,1,shell
false,0,0,4,4,star
true,2,2,1,0,mushroom
false,0,5,1,1,banana
true,4,0,1,0,shell
false,0,0,4,4,star
true,0,0,1,0,mushroom
false,1,5,1,0,banana
true,3,1,0,0,shell
false,1,2,4,4,star
true,2,2,0,1,mushroom
false,0,4,0,1,banana
false,5,1,0,0,shell
false,3,3,4,4,star
true,1,1,1,0,mushroom
false,1,4,0,0,banana
false,5,0,1,0,shell
false,1,2,4,4,star
true,0,0,1,0,mushroom
true,1,5,0,1,banana
false,5,0,0,1,shell
false,0,0,4,4,star
true,0,0,0,1,mushroom
false,0,5,1,1,banana
false,2,0,0,0,shell
false,0,0,4,4,star
true,0,0,0,0,mushroom
false,1,5,1,1,banana
true,2,1,0,0,shell
false,2,3,4,4,star
true,2,2,1,0,mushroom
true,1,5,0,1,banana
true,4,0,0,0,shell
false,0,1,4,4,star
true,0,0,1,0,mushroom
false,0,5,0,0,banana
false,5,0,0,1,shell
false,0,0,4,3,star
true,2,2,0,0,mushroom
false,1,5,1,0,banana
false,2,0,0,0,shell
false,0,0,4,4,star
true,0,0,0,0,mushroom
false,0,4,0,1,banana
false,4,0,1,0,shell
false,1,0,4,4,star
true,0,0,1,0,mushroom
false,0,4,0,1,banana
false,5,1,1,1,shell
false,1,0,4,4,star
true,2,2,0,0,mushroom
false,0,3,1,0,banana
false,4,0,0,0,shell
false,0,0,3,4,star
true,2,2,0,0,mushroom
true,0,5,0,1,banana
false,2,0,0,1,shell
false,0,0,3,4,star
true,2,2,1,0,mushroom
false,1,5,0,0,banana
false,5,0,1,0,shell
false,3,2,3,4,star
true,2,2,1,0,mushroom
true,1,4,0,0,banana
false,4,2,0,0,shell
false,2,0,3,4,star
true,0,0,1,0,mushroom
true,0,4,1,1,banana
false,4,1,1,0,shell
false,0,0,4,4,star
true,1,1,0,1,mushroom
true,1,5,1,0,banana
false,5,0,0,0,shell
false,0,1,3,4,star
true,0,0,1,0,mushroom
false,0,5,1,1,banana
true,4,0,0,1,shell
false,1,1,3,4,star
true,2,2,0,0,mushroom
false,1,5,0,1,banana
false,3,0,0,1,shell
false,1,1,4,3,star
true,2,2,0,0,mushroom
true,0,4,0,1,banana
false,2,1,0,1,shell
false,1,0,3,3,star
true,0,0,0,1,mushroom
true,0,5,0,1,banana
false,4,1,0,0,shell
false,0,0,4,4,star
true,1,1,0,1,mushroom
true,1,5,0,0,banana
false,3,1,1,1,shell
false,1,0,4,4,star
true,2,2,0,0,mushroom
true,1,4,0,0,banana
true,5,3,0,1,shell
false,2,1,4,4,star
true,1,1,1,0,mushroom
false,0,2,1,1,banana
true,5,0,1,1,shell
false,2,3,3,3,star
true,0,0,0,1,mushroom
false,1,5,1,1,banana
false,2,1,1,0,shell
false,0,1,4,3,star
true,0,0,0,0,mushroom
true,2,4,1,0,banana
false,5,0,1,0,shell
false,3,0,3,4,star
true,1,1,0,1,mushroom
false,1,5,1,0,banana
false,4,0,1,0,shell
false,1,0,4,4,star
true,1,1,1,0,mushroom
false,1,5,0,1,banana
false,3,0,1,0,shell
false,1,0,4,4,star
true,0,0,0,0,mushroom
false,0,2,1,0,banana
true,4,2,0,0,shell
false,0,1,4,4,star
true,0,0,0,1,mushroom
false,1,5,0,0,banana
false,4,2,0,0,shell
false,0,0,4,4,star
true,1,1,0,0,mushroom
false,2,5,1,1,banana
true,4,0,1,0,shell
false,1,1,3,4,star
true,1,1,0,0,mushroom
false,0,5,0,1,banana
false,5,1,1,0,shell
false,1,2,3,3,star
true,2,2,1,0,mushroom
false,0,5,1,0,banana
false,3,2,1,0,shell
false,2,1,3,4,star
true,2,2,0,1,mushroom
false,2,5,1,0,banana
false,4,0,1,1,shell
false,0,1,3,3,star
true,1,1,0,1,mushroom
false,1,5,1,1,banana
true,4,0,0,1,shell
false,0,0,3,3,star
true,0,0,1,0,mushroom
false,1,5,1,1,banana
false,5,1,1,1,shell
false,1,1,3,3,star
true,1,1,0,1,mushroom
false,0,3,0,0,banana
false,3,0,1,1,shell
false,0,1,4,4,star
true,2,2,0,0,mushroom
false,0,5,1,0,banana
false,5,1,0,1,shell
false,0,0,4,4,star
true,1,1,0,1,mushroom
false,1,4,0,1,banana
false,3,0,1,0,shell
false,2,2,4,4,star
true,2,2,0,0,mushroom
true,0,4,0,1,banana
false,5,0,1,0,shell
false,1,0,4,4,star
true,2,2,0,0,mushroom
false,0,5,0,0,banana
true,5,0,0,0,shell
false,0,0,4,3,star
true,0,0,0,0,mushroom
false,2,4,1,1,banana
false,5,1,0,1,shell
false,1,0,4,4,star
true,2,2,1,0,mushroom
false,0,4,1,1,banana
true,5,2,0,0,shell
false,1,0,3,3,star
true,0,0,0,0,mushroom
true,0,3,1,1,banana
true,5,1,0,1,shell
false,1,0,3,3,star
true,0,0,0,0,mushroom
true,1,4,1,0,banana
true,5,2,1,0,shell
